	MM909_01_1	MM909_02_1	MM909_03_1	MM909_06_1	MM909_11_1	MM909_14_1	MM909_15_2	MM909_16_1	MM909_17_1	MM909_22_2	MM909_25_1	MM909_26_1	MM909_27_1	MM909_29_1	MM909_31_1	MM909_34_2	MM909_35_2	MM909_36_1	MM909_37_1	MM909_40_1	MM909_42_1	MM909_43_1	MM909_45_1	MM909_46_1	MM909_47_1
BCL9L	2.0345	2.9641	3.01185	1.17206	1.63529	3.45279	1.98445	2.70231	1.07452	3.07601	2.55518	1.88424	2.35219	2.42739	2.54611	0.99226	3.0037	1.6866	2.92633	3.08999	2.04767	3.16343	3.25989	2.14702	1.9454
BCLAF1	4.81308	4.33462	5.46138	3.59244	4.27358	4.06159	3.43397	4.10294	4.07203	4.30722	3.8964	4.28209	4.91463	4.94167	4.10206	2.63368	5.01412	3.4288	3.99031	4.38749	4.90155	4.51108	4.48024	4.06919	3.81684
BCO2	0.53053	0.48481	0.80973	0.1854	0.14174	0	0.56079	1.65225	0.42755	0.26964	0.35307	0.10265	0.66394	0.37686	0.16914	0.47689	0.3694	0.43362	0.4149	0.17746	0.34711	1.22139	0.45869	0.3278	0.12211
BCOR	3.50792	2.67072	3.94375	2.32452	2.71556	3.17135	2.68618	2.91845	2.46899	2.27761	3.0228	3.2614	3.70373	3.65743	4.52433	1.43197	3.42815	2.48072	2.773	3.24313	3.89987	2.79979	3.33838	2.34885	2.16403
BCORL1	2.01282	1.98567	2.30385	0.78563	1.72038	2.01989	1.03211	1.66337	0.83937	1.70446	1.13142	2.15643	2.53994	1.38762	2.724	0.61608	1.99116	1.18265	1.25169	2.30416	2.493	2.29735	1.64512	1.8205	1.44248
BCR	3.11913	2.43667	2.02531	1.69996	2.54566	1.72936	1.74997	1.93173	1.5468	3.21341	2.10243	3.25315	2.53961	2.91497	3.12845	2.30615	2.63088	2.31365	3.12236	1.7667	2.89316	3.87289	3.84181	2.97113	2.35285
BCS1L	3.49294	2.92998	3.26845	3.91722	3.14776	3.90744	4.13853	3.72602	3.78405	3.31599	3.35223	3.32389	3.76732	2.84472	3.24644	3.54445	2.752	3.74454	3.27173	3.47987	2.88754	3.80873	2.98647	4.2731	3.8779
BDH1	1.44835	1.16009	3.07694	0.88696	2.71411	3.04081	2.88349	2.49044	2.73982	0.622	3.07694	2.02233	2.57288	1.41471	1.35924	3.97902	2.66442	0.92756	2.46671	1.83008	2.59541	3.57643	1.4144	3.02765	2.69735
BDH2	3.44544	3.38846	2.7557	4.4905	3.43255	3.24544	4.3956	4.46863	4.30475	3.56815	3.78405	3.6898	4.04058	3.24369	2.36992	4.81308	3.64735	4.44283	3.73625	3.49264	4.60632	3.21949	3.26728	3.86376	4.7295
BDKRB1	0.6255	0.05114	0.1102	0.42244	0.7469	0.51911	0	0.31934	1.52438	0.7818	0.07144	0.18389	0	0.0245	0.11561	0	0.35415	0.71132	0.45043	0.80116	0.32431	0.2334	1.52539	0.081	0.16798
BDKRB2	0.577	0.28582	0.42279	1.54842	0.18093	0.37942	0.53282	1.33853	0.47558	2.47224	0.42201	1.41782	0.30964	0.75476	0.21018	0.36183	1.61603	1.37157	1.20443	0.36927	1.60541	0.86912	2.55118	0.1492	0.30288
BDNF	0.05522	2.79643	5.56601	0.13956	0.51803	0.0887	0.0987	0.4352	0.29586	0.13833	0.35207	0.6324	1.17761	0.02528	0.3457	0.29123	0.06364	0.01553	0.04068	0.03833	0.03529	1.46748	0.03894	0.38523	0.13878
BDP1	2.74055	3.20277	3.23828	2.54098	2.18394	1.83672	2.98035	2.72651	3.80994	2.42178	1.89679	2.67317	3.30982	3.25897	2.23083	2.07838	3.30733	1.15033	1.81134	2.28106	2.82261	2.56766	3.11073	2.10372	2.22328
BEAN1	0.06865	0.15064	1.48944	0.1956	0.07301	0.74748	1.01816	1.8985	1.4868	0.43378	2.31073	0.04346	1.84563	0.07499	1.81903	1.15815	0.85835	0.98407	0.74628	0.72012	0.07931	0.16528	0.1525	0.29397	0.04957
BECN1	5.30127	5.25889	5.71334	4.54481	5.51354	5.21775	4.662	5.38033	4.80125	5.27727	5.25606	5.83438	4.99557	5.45864	5.03034	4.21329	5.23533	4.64386	5.13109	5.47356	5.56601	5.16762	5.33262	5.07525	4.765
BEGAIN	0.14349	0.01904	0.26093	0.21763	0.17602	0.52479	0.43834	0	0.0637	0.05671	0.0486	1.12991	0	0.05448	0.12637	0.24778	0.05423	0.11093	0.14199	0.13127	0.3815	0.24966	0.22284	0.0582	0.56153
BEND2	0.05349	0.02426	0.04724	0	0	0	0	0	0	0	0	0	0	0.00483	0	0.0124	0	0.00509	0.01912	0.01998	0	0	0	0.00614	0
BEND3	0.22085	0.47091	1.34873	0.46512	0.54856	0.79914	0.64047	1.03186	0.60052	0.51349	0.71333	0.80172	1.22113	0.38791	0.83836	0.39246	1.00608	0.46695	0.63165	0.52282	0.92892	0.88198	0.35988	0.82657	0.91427
BEND4	0.50979	0.11837	0	0.01241	0.13114	0	0.03132	0.03667	0.01147	0.03012	0.07938	0.08449	0	0.82503	0.00086	0.01255	0	0.00292	0.05292	0.01464	0.03034	0	0.62338	0.02643	0.02302
BEND5	1.35549	1.42434	3.08078	2.1329	0.80172	0.4103	2.2272	1.73746	2.82261	1.07351	1.75479	1.14494	0.55798	2.71694	2.56132	1.78366	0.44553	1.95844	0.50009	0.73976	0.46185	0.99705	2.48975	1.65783	0.25517
BEND6	0.37326	0.2599	1.3162	1.52052	0.6574	0.20391	0.75743	0.725	0.36123	2.31478	0.56285	0.39284	0.68012	0.64073	0.39417	0.78428	0.69977	1.27885	0.65096	0.99705	0.41964	0.64464	0.60454	0.13332	0.67903
BEND7	0.65979	1.94132	0.74926	0.51411	1.43197	0.06511	1.66989	2.10925	0.18944	0.99877	1.00915	1.64243	1.29525	0.94829	1.50238	0.84166	1.54274	0.80689	0.25937	1.40393	0.64095	0.23935	1.21991	0.19192	0.50932
BEST1	1.55576	2.56063	3.87823	2.873	2.44137	4.21841	5.18799	4.28656	1.94843	1.91508	4.07547	4.78904	3.91971	1.222	5.66402	5.43328	2.794	2.78262	1.89368	2.89112	4.96369	2.25274	1.36062	3.23756	4.59237
BEST2	0	0	0	0	0	0	0	0	0	0.01793	0.02427	0	0	0	0.00399	0.02812	0	0	0	0	0	0	0	0	0
BEST3	0	0.06871	0.16843	0.16528	0	0	0	0	0.17256	0.02255	0	0.03686	0	0.01087	0	0	0	0	0.04454	0	0	0.15266	0	0.08756	0.05613
BEST4	0.07751	0	0	0.07407	0.15729	0.2378	0	0.06297	0.05394	0.11945	0.04133	0.0536	0.14447	0.03995	0.0311	0.12343	0	0.14913	0.04106	0.02351	0.02187	0.05718	0.02011	0.02609	0.05187
BET1	3.88357	4.77483	3.8605	4.41996	4.32561	3.69718	4.33557	3.21247	4.86904	3.20594	4.12992	4.33518	4.09019	3.29989	3.36637	5.02323	4.10941	3.30313	3.68493	3.48636	3.43735	4.29624	1.86173	3.71262	3.71841
BET1L	5.16762	4.84595	4.593	3.33873	3.77845	4.40816	3.4844	3.98951	3.84224	4.82592	4.42656	4.88399	4.37015	4.53976	4.32884	3.70509	4.72633	4.37543	4.34583	4.7313	4.33603	4.41244	4.65471	4.5869	4.63116
BEX1	0.16657	2.89797	0.1675	3.81198	0.97054	0.35397	3.25126	0.96191	0	0.21574	0.11648	0.22118	0.58232	0.3358	0.8314	3.08174	0	4.7732	0.36273	2.49044	2.6049	0.98366	0.19942	0.18027	0.34756
BEX2	3.19256	4.24482	0.56285	2.91392	2.09885	0.3707	5.09151	5.46737	5.40077	1.0007	2.84912	1.00814	1.75043	3.53071	4.63919	4.84715	1.94613	3.88403	1.10039	3.47844	1.54057	4.41792	3.17339	2.21239	3.77845
BEX4	4.68598	5.65537	6.5921	5.56535	6.07535	3.23514	5.82638	7.38667	5.95304	4.87496	6.35845	5.57545	5.72427	4.80025	6.0482	4.81592	5.80915	5.41838	3.67576	6.1281	5.60256	6.84242	4.52571	2.64712	5.78827
BEX5	2.037	1.97098	0.76668	0.80149	0.38875	0	1.06971	1.32821	0.39669	1.16913	0.23068	0.30472	0.61669	2.33365	0.07511	1.38141	0.20066	2.76365	0.92385	1.42991	0.13547	0.0824	1.37798	1.04233	3.59978
BFAR	4.25194	5.02261	6.53988	5.84751	4.6224	4.66804	6.0482	6.31061	5.18114	4.12601	3.94375	5.49327	5.62285	4.42126	3.74233	5.29375	5.64045	4.79238	5.34497	4.79797	4.77894	5.27122	4.04342	5.66327	6.41154
BFSP1	1.11339	2.77933	1.80436	2.20553	0.33638	1.74881	3.66865	3.10696	1.89743	0.93001	2.31142	1.49487	3.0741	0.57358	0.31906	0.45999	4.88882	1.06673	0.96897	4.85581	1.95921	2.75468	0.60767	0.95268	2.08574
BFSP2	1.75959	0.27317	0.09165	0.77369	0.11926	0.20787	0.10033	0	0.23176	0.13438	0.05786	0.62622	0	0.83723	1.38583	1.15331	0.03314	0.20644	0.35726	0.09963	0.18367	0.92657	0.81813	0.0396	0.14266
BGLAP	0.04093	0.00744	0.03857	1.97962	0.05118	0.05871	0.01873	0.02967	1.75043	0.0301	0.6191	0.00747	0.01217	0.00041	9e-05	0.00663	0.0069	0.00099	0.0044	0.0064	0	0.00931	0	0.00038	0.00656
BGN	6.06945	5.49016	4.69165	5.91668	5.70091	7.09295	4.3871	4.46664	3.74947	9.4083	7.45346	8.037	4.73009	4.3977	5.11265	3.59311	7.30657	6.98826	7.98169	8.30364	6.07058	6.7719	6.69137	5.58578	3.94983
BHLHA15	3.03664	0.56734	0	0.81998	0	0.18196	0	0	0	0.14191	0	2.46294	0	0.3546	0.08714	0.34023	0	0	0.82842	0	0.08016	0.10018	0.3654	0.3746	0
BHLHA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHLHB9	0.77164	1.37093	0.37613	0.45298	0.9044	0.16958	0.75906	1.33754	1.27732	0.65902	0.83165	0.81747	1.75074	0.68187	1.48984	1.35889	1.03738	0.57092	0.62598	1.92107	0.94952	1.22671	0.46387	0.46851	1.85596
BHLHE22	1.03946	0.34711	0.0826	0.42569	0.35259	0.16714	0.54076	0.25876	0.39981	1.01577	1.01853	0.86457	2.60188	0.47413	0.13145	0.08853	1.02709	0.54649	1.49806	0.80846	0.67544	0.1974	0.63481	0.17661	0.03142
BHLHE23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHLHE40	5.6754	5.64862	4.31816	4.15469	5.8409	4.87083	4.83969	3.97769	4.77538	5.91767	5.71252	5.0036	6.24558	6.02097	5.55387	3.88229	7.75429	4.30684	5.9651	6.45267	4.76446	5.87463	7.37247	5.64045	4.50357
BHLHE41	5.40521	1.384	1.71683	1.05996	2.52529	4.62105	2.87207	0.89901	0.3893	3.63915	3.91971	5.42375	3.56851	2.6933	5.19757	3.9467	2.75127	2.42458	3.35176	3.09297	4.28808	4.83969	2.44283	4.37067	0.19605
BHMT	0	0	0	0.02244	1.94613	0.12946	0.06364	0	0.02098	0.03504	0	0	0.02875	0.00364	0.04824	0.2043	0.02536	0.03128	0	0.01882	0	0.05918	0.03675	0	0
BHMT2	0.23839	0.24329	0.19605	0.65718	0.47929	2.2212	0.09362	0.12757	0.09509	1.84386	0.34682	0.06861	0.08993	0.20271	0.27453	3.65577	0.38341	0.63207	0.50487	0.13255	0.07061	0.52773	1.85415	0.11581	0.0428
BICC1	0.35819	0.3605	0.32204	1.54808	1.40059	1.31793	0.63428	1.02581	0.16947	3.28467	0.75228	1.83197	0.63639	1.2969	1.1877	0.51959	1.61296	1.53612	2.31107	2.07955	1.10455	0.84828	2.81723	1.30938	0.42058
BICD1	2.9075	2.69559	4.16208	1.9375	4.27885	1.88876	1.71934	2.47953	0.94111	2.00907	2.40227	2.92998	2.84055	2.17813	3.49005	3.01146	3.64471	2.59095	2.60829	2.22911	1.94377	3.10727	2.27761	2.64678	2.49811
BICD2	3.24072	2.94897	3.62552	2.68321	3.19215	3.0077	3.90079	3.20712	2.4229	3.60538	2.88274	3.27894	4.39912	2.95883	4.32203	3.26031	4.18277	2.68358	3.63954	3.11263	3.10938	3.04593	3.3204	2.93193	2.78445
BID	3.73515	2.93193	2.77733	4.63432	4.30769	3.26665	4.28299	3.92535	4.7508	4.08762	4.07906	3.69828	4.15121	4.03154	4.61576	4.33032	2.832	4.98681	4.08976	3.13755	3.48173	2.99943	3.87247	3.87137	3.84181
BIK	0.85429	0.36304	3.93939	2.25058	0.18784	1.72038	1.33797	2.22652	3.07896	0	1.35587	0.70652	0.40037	1.31457	1.57236	1.17479	0.11814	0.30133	0.60402	0.1203	0.31298	0.73044	1.59114	2.02798	3.39723
BIN1	3.87604	2.5053	1.39913	3.78297	3.41262	3.54082	3.05057	1.25102	1.65783	3.6348	3.00738	3.04216	1.34709	4.57612	4.12992	2.92566	2.10999	3.63657	3.06391	3.40095	2.97141	2.38024	5.2703	2.05107	1.90641
BIN2	5.62285	3.86889	1.38762	2.9235	3.64669	3.45936	1.4631	0.95641	0.91088	4.83397	3.76887	3.75709	0.92596	5.87251	2.91812	3.3204	2.26903	4.81135	4.64533	3.34055	3.59708	1.45257	5.58954	2.96448	2.40687
BIN3	4.42039	4.28913	5.20552	4.55872	4.43263	5.13546	5.57817	4.08256	4.46486	3.8848	4.62791	5.28209	5.4156	3.60992	5.69068	5.72635	5.11952	4.266	3.64915	4.6104	4.20264	4.28488	4.06749	3.80503	4.26873
BIRC2	4.87793	5.13172	5.13666	5.36795	4.86586	3.68528	5.10969	4.69909	5.67032	4.42847	4.33324	3.89896	4.29357	5.01335	4.12474	6.73375	4.33683	5.05599	6.4495	4.73336	4.25614	4.16739	4.55382	4.3411	5.73807
BIRC3	4.62337	4.41886	1.26141	2.40254	3.95516	2.18028	1.96261	0.3712	1.46781	1.93588	2.00907	2.82733	0.39395	6.21288	1.36325	3.54013	1.64175	3.08642	3.34173	3.22329	2.9456	1.47869	6.00207	2.86933	2.05548
BIRC5	1.2353	2.31838	2.27218	4.5956	3.55061	3.07314	2.77629	2.51095	4.74287	1.51826	3.21647	2.60554	3.7732	2.36817	3.2965	5.55585	2.94084	3.84555	3.10546	2.0658	1.56814	3.06029	1.69256	3.07109	3.19902
BIRC6	2.86204	2.65955	2.97432	1.5453	2.48209	2.02424	1.91229	2.64218	2.13523	2.67582	2.01735	2.77906	2.93542	3.5601	3.26845	1.72613	2.85597	1.74422	2.44349	2.35123	3.01017	2.96025	3.75997	2.78928	2.24374
BIRC7	3.71708	1.3015	0	5.56601	1.10429	6.39972	4.07942	4.55923	4.59365	0.06893	6.10595	2.68456	1.39125	0.05023	1.28461	5.22604	0.83075	1.69218	4.87083	5.21444	4.7919	5.98471	0.40959	7.12591	5.2452
BIRC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIVM	2.17445	3.22256	3.33148	3.50967	2.24341	2.83233	3.74454	3.91414	3.78904	2.97432	2.78069	2.83678	4.35429	2.72783	1.42434	0.97557	2.89831	2.7743	2.41386	3.53593	3.76963	3.20436	1.33211	2.79643	3.16863
BLCAP	4.79912	5.02791	4.59803	4.50357	5.29375	4.42084	4.77992	4.65521	3.95098	5.02121	4.97821	5.47628	6.07794	5.35381	5.9898	4.28161	5.11677	4.81592	5.14205	6.04436	5.79404	5.1643	5.04929	5.45395	5.03785
BLID	0.30775	0.06854	0	0	0.20591	0	0	0	0	0	0	0	0.09934	0	0	0	0	0	0	0.06785	0.12842	0.07825	0.03196	0	0
BLK	1.52438	1.75305	0.18774	0.07819	0.18115	0.49196	0.23899	0	1.23416	0.29172	0.30788	0.66031	0	4.44638	0.36598	0.17719	0.01946	0.32696	0.26558	0.24074	0.34945	0	4.78541	0.23281	0.0482
BLM	2.04492	1.55171	2.05678	2.08918	1.54345	2.31507	1.07614	1.56331	1.09072	0.88838	1.90875	1.86408	2.02939	2.31838	2.81277	2.14733	2.65002	0.87922	2.44309	1.3503	1.51591	1.46928	1.74691	2.14405	1.21761
BLMH	3.85543	3.26728	3.3249	4.12854	3.72961	3.88516	4.20826	4.96441	2.99581	4.32012	4.43006	3.80725	3.86668	4.31424	3.57552	4.25972	3.31457	4.27216	3.95862	4.22024	4.5891	3.74987	4.07096	3.59474	3.57815
BLNK	5.52121	3.24072	0.43686	1.97631	2.44502	2.02761	1.59452	0.65218	1.24564	3.09329	2.74781	3.44059	0.73297	5.2488	2.68553	2.12598	1.4653	3.10546	3.0936	2.44221	2.72953	1.22032	4.66312	1.96608	1.1968
BLOC1S1	7.17267	7.13409	6.76983	8.25771	7.80699	8.24501	7.97175	3.36973	5.30365	7.18204	7.99065	6.58405	7.43174	6.91707	5.51188	8.67876	7.56117	8.02558	7.12856	7.41774	6.85558	6.9666	6.93525	7.03103	7.16282
BLOC1S2	4.15469	3.5513	3.79272	4.3793	4.44469	4.31092	4.53281	4.45613	4.14951	4.71056	3.92216	4.34633	2.69095	4.73399	3.65485	4.77101	3.04461	4.81435	3.9957	3.61163	3.69547	4.0023	4.09019	4.40255	4.07172
BLOC1S3	2.35479	2.1682	2.6015	0.76582	1.49841	2.56719	1.25461	2.22328	1.24181	2.48699	2.06882	2.23263	2.39614	2.10433	2.13256	1.74651	2.00448	1.50103	2.12384	2.27083	2.25408	1.77534	1.73031	1.87939	1.91827
BLOC1S4	2.76562	2.01063	2.89053	3.10083	2.55422	3.0936	3.31392	3.29927	3.08078	3.13678	3.12676	2.82424	3.25561	2.78262	2.24719	2.99804	2.06776	3.12629	2.82106	2.43978	2.57426	2.80529	2.42602	2.58189	3.03725
BLOC1S5	2.72167	0.86487	2.43271	3.50825	3.10215	2.14374	3.53143	3.37838	4.32607	2.60654	2.10212	0.99282	3.089	2.17289	1.44909	0.75875	1.29106	1.26327	1.82578	1.06813	2.82393	1.63489	1.98217	2.36631	2.99968
BLOC1S6	4.8364	5.63522	4.88503	4.73829	5.06975	3.20675	4.55105	5.28209	4.557	4.50876	4.51809	4.63974	4.56864	4.45651	3.81915	3.53104	4.71818	3.81988	4.15391	3.83797	4.60142	3.54929	3.7074	4.06082	4.08256
BLVRA	5.71435	5.64593	5.39676	5.45698	5.45642	5.98471	5.49846	5.13812	6.1647	6.25292	5.56681	5.33867	4.40255	5.98038	6.11253	5.9745	5.50906	6.56489	6.13751	6.01099	5.56681	5.17359	6.18629	5.41492	5.43493
BLVRB	5.8175	4.4807	4.90587	6.14495	5.09633	5.92877	6.3302	6.5884	5.56184	6.78903	6.33177	5.62285	4.55432	4.16281	4.09867	7.47198	4.60577	6.70422	6.06252	5.5798	4.08219	4.34475	5.51792	4.94091	5.00618
BLZF1	3.51275	4.05919	4.14795	4.73964	4.76446	3.85313	4.4141	4.46246	4.99425	3.02976	3.83325	3.55588	4.1637	3.41952	3.56118	4.43583	3.28319	3.87686	3.29067	3.65525	4.58058	5.04805	3.57134	3.79602	5.03936
BMF	3.61087	2.40021	4.61287	3.57314	2.54432	3.52208	2.03041	3.14696	1.54099	3.55216	3.71039	2.39186	2.27122	2.54531	3.41604	2.46869	3.91125	3.91229	3.05747	4.10941	3.98679	1.90759	3.2121	2.64218	2.45759
BMI1	4.46064	3.20873	4.27125	3.16611	3.19511	5.55999	2.873	4.35475	2.78559	2.9021	2.84377	3.34303	4.2372	3.54445	4.01619	3.1918	3.10696	1.94199	3.46335	3.50055	3.54577	3.28352	2.97263	3.71708	3.40167
BMP1	2.40066	2.59541	2.67317	3.49112	3.25282	3.67087	2.95279	3.40684	2.27574	5.2646	3.40348	3.5513	4.02596	1.24396	2.93193	2.4533	3.71182	3.95482	3.61383	3.14696	2.82733	3.50893	2.86904	2.89601	2.89053
BMP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP15	0	0	0	0	0	0	0	0	0	0.02974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP2	0.38523	0.72927	0.08799	1.87973	0.71494	0.72285	0.62903	0.37399	0.90673	0.90365	0.39191	0.30317	0.3086	1.08128	1.3071	0.16053	1.05776	0.60132	1.08405	0.33214	0.37544	0.32239	2.64186	1.34575	1.29734
BMP2K	3.36698	2.62914	4.30291	2.70098	2.91429	2.63576	2.40791	3.4548	3.30625	3.59783	3.31969	2.87236	3.3038	3.79708	3.81093	2.7743	3.09911	2.67317	3.26914	2.62451	3.18673	3.16899	3.85195	3.26099	2.99943
BMP3	0	0.02582	0	0.02772	0	0	0.02582	0.06507	0.0471	0	0.00937	0	0.03649	0.03075	0.00094	0	0	0.03056	0	0.02461	0	0.01442	0.06411	0.002	0
BMP4	1.26327	3.17703	0.72871	1.86307	0.89556	0.66884	1.4422	0.30953	0.37052	1.63359	0.8751	1.36476	0.33595	2.46831	3.12676	2.12234	1.31422	1.79602	1.61898	3.59549	0.78008	0.50009	1.931	0.72956	2.18139
BMP5	0	0.04896	0	0.25001	0	0.23188	0	0	0	0.25326	0	0	0.11106	0.37867	0.01616	0	0.04761	0.72306	0.02039	0	0	0.02717	0.25468	0.00597	0
BMP6	4.48134	2.54234	2.13845	1.1519	0.42106	0.15216	0.29891	0.61763	0.42244	1.75932	1.09616	2.21699	0.7366	1.11988	0.31347	0.17891	0.63428	0.51734	1.60572	3.18252	0.90055	0.47575	0.8493	0.39783	0.17418
BMP7	0.25441	2.01457	0.07808	0.18894	2.16129	0.22062	0	0.08688	0.06995	0.06631	0.2716	0.3694	0.07123	1.32419	0.98531	0.08415	0.18257	0.07712	0.05234	0.14502	1.43687	0.07154	0.22432	0.00648	0.06724
BMP8A	0.64664	0.135	0.70083	0.34587	0.42714	0.62313	0.11398	0.59445	0.10114	1.95779	0.23687	0.40141	0.79079	1.4574	0.62041	0.16686	1.64038	0.46286	0.6191	0.26167	0.80041	1.25901	0.56271	0.29864	0.17816
BMP8B	0.48595	0.23094	0.5801	0.23983	1.70314	1.28103	1.17931	0	0.13703	0.46312	1.64342	0.74875	1.67435	0.69273	0.56654	0.386	1.11261	0.2608	0.61004	0.21336	0.55736	1.05555	0.25275	0.02255	0.04469
BMPER	0.08767	1.30559	0.14745	0.46336	0.07646	0.09446	0.07515	0.65979	0.03178	0.44159	0.30553	0.06432	0.05536	0.80944	0.13764	0	0.19831	0.24867	0.07426	0.4065	0.20417	0.1856	0.39395	0.0405	0
BMPR1A	1.93173	4.86972	3.84264	4.34633	2.85323	2.59443	3.71806	3.93283	3.85265	2.61972	2.68321	3.06354	3.49005	2.65927	2.99999	2.42996	2.9329	3.00131	2.66644	3.55506	3.21949	3.17618	2.08771	3.38485	3.25033
BMPR1B	0.06479	0.08164	0.70756	0.19236	0	1.04341	2.30048	3.07825	0.5383	0.68163	1.62089	0.3529	0.28216	0.19396	0.08697	0.41841	0.44035	0.10012	0.54649	0.17853	0.1177	0.18428	0.03007	2.29656	1.15501
BMPR2	3.05103	3.36466	3.87426	2.54361	3.20316	3.66968	3.48741	3.65525	3.94375	3.91159	3.87911	3.6545	3.94458	3.58547	2.71136	1.12388	4.54153	1.63598	2.50161	2.99411	2.99804	3.09533	2.68831	4.22689	2.23162
BMS1	2.49452	2.67875	3.12463	2.20993	2.39277	2.80529	2.03929	2.92059	2.30351	2.62396	2.24034	3.13928	2.68321	2.99448	2.94674	3.06695	2.96634	2.38661	3.05854	2.36102	2.97991	3.3852	2.99832	2.73703	2.72573
BMX	0.84	0.98501	0.27794	0.95268	0.1858	0.3474	4.84549	0.49592	0.73099	1.94881	0.60814	0.25963	0.1441	3.37059	0.11057	0.18277	0.54128	0.44182	0.84894	0.12008	0.22075	6.29909	1.97739	0.4247	0.10796
BNC1	0	0.26183	0.04732	0	0.08216	0	0.03789	0	0.02203	0.13681	0	0.1626	0.04625	0.41263	0.03172	0	0.01183	0.39101	0.10841	0.27084	0.01816	0.01543	1.24749	0.00221	0
BNC2	0.88437	1.72332	2.98275	1.40328	1.68581	2.2511	1.35549	2.44462	2.38519	2.17401	1.2977	2.73735	3.77434	0.79362	3.79344	1.49142	2.96881	1.08245	1.82368	1.94801	1.91619	2.56292	1.41878	2.72844	3.30841
BNIP1	3.01836	3.12629	3.26196	4.6985	3.74878	3.12676	4.26143	3.18186	4.62162	3.13713	3.52406	3.05136	2.04843	2.96377	2.53682	5.10249	3.25818	3.90553	2.85194	3.39763	2.70098	2.68618	2.67839	2.4197	4.07335
BNIP2	4.9961	5.28535	5.18114	4.58811	5.12642	4.20437	4.60094	5.22318	4.75168	4.91168	4.52857	4.76446	4.40525	5.29008	3.66268	3.79562	5.26312	3.71984	4.91168	4.1451	4.61636	4.29518	4.75121	4.43453	4.33462
BNIP3	3.99522	4.24932	5.95177	4.44196	4.83457	5.51354	4.85975	4.93493	4.61453	3.75912	4.34765	3.78992	4.4227	3.39723	4.68261	4.71056	4.27273	3.28084	3.44831	4.05182	4.80169	5.66327	3.45767	5.99406	6.01713
BNIP3L	5.34107	5.04929	5.6651	5.77775	5.69894	4.44152	4.64386	5.3458	5.46993	5.49075	5.71093	5.5964	6.76802	4.83881	5.45211	4.58864	5.87726	4.85045	4.64336	5.38579	5.09151	5.48745	4.30121	5.12817	5.26578
BNIPL	0.13614	0.04655	0	0.02574	0.09927	0.21562	0.15121	0.0679	0.14004	0.06529	0.12946	0.117	0.11786	0.16787	0.03461	0.16741	0.15791	0.14474	0.08608	0.12786	0.13422	0.06288	0.0636	0.05882	0.0827
BOC	1.28075	4.74287	0.3457	1.31825	1.07801	0.8426	0.45898	2.77335	0.85516	2.6839	2.67839	1.80676	0.53923	1.41845	2.54403	1.11848	2.12018	2.76799	1.79446	3.19256	0.98266	0.98661	3.00519	0.47413	0.26379
BOD1	4.25283	4.8171	4.74655	5.87463	4.6249	3.86597	5.24308	4.5349	5.65239	4.28209	4.3614	4.21812	4.1229	4.15763	3.84904	5.41744	4.54798	5.27572	4.05223	4.82188	4.70374	3.64426	3.3913	3.62961	5.38435
BOD1L1	2.98711	2.56993	3.62385	1.58371	2.28661	2.64115	2.32	3.24611	2.17773	2.54566	2.52893	3.04287	4.05919	3.5608	3.15673	1.60215	3.22519	1.8142	2.52827	2.57259	3.33679	3.35028	3.66232	3.01405	2.53994
BOD1L2	0	0	0	0	0	0	0.02982	0	0	0	0	0	0	0	0	0.16536	0	0	0	0	0	0	0	0	0
BOK	0.11078	0.0817	1.527	1.39875	0.51851	0.63666	0.12014	1.94305	0.64252	2.26416	0.6593	1.70236	2.4884	0.46672	1.54842	0.46894	0.53923	0.54897	1.47831	0.45699	0.23353	1.75479	1.44835	1.353	1.54345
BOLA1	3.25223	2.79548	3.21692	4.91339	3.56597	4.86586	4.88617	3.68715	4.99741	2.90952	3.89791	3.07896	3.3826	2.93991	3.4288	5.0205	2.39531	4.51764	3.47987	3.41672	3.89896	3.18699	2.41446	3.26484	4.25324
BOLA2	2.15643	1.93935	2.97547	2.5228	2.53548	2.56099	2.58358	2.72535	2.85503	1.92821	2.22873	2.67839	2.70098	2.12771	1.26545	2.42571	3.06791	1.13247	1.33598	1.48793	1.93244	2.24639	0.77047	0.18894	1.67508
BOLA2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOLA3	5.28861	5.30292	5.04074	5.7472	5.6754	5.63522	6.51823	5.41054	6.54189	4.65783	5.59478	5.41411	4.86972	4.56773	5.30454	6.61776	4.31474	5.3169	4.87496	4.45323	5.05846	4.98194	4.24385	6.64107	5.87463
BOLL	0.06489	0	0	0	0	0	0.03356	0	0.01852	0	0	0.0206	0	0.00315	0.00725	0	0.05306	0	0	0	0.0144	0	0.00232	0.00387	0
